epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,198.222,0.66767,0.38231,0.91185,0.99915,1,0.995,0.78357,0.90579,0.37586,1.05575,0.0007922,0.0007922,0.0007922
124,199.748,0.7292,0.40481,0.93096,0.99935,1,0.995,0.75763,0.94801,0.38504,1.08837,0.0007823,0.0007823,0.0007823
125,201.264,0.71079,0.41077,0.92828,0.99929,1,0.995,0.77846,0.89737,0.37589,1.05008,0.0007724,0.0007724,0.0007724
126,203.095,0.65522,0.37205,0.91718,1,0.9998,0.995,0.78292,0.90184,0.37118,1.03764,0.0007625,0.0007625,0.0007625
127,204.615,0.63923,0.372,0.90773,1,0.99973,0.995,0.78869,0.90428,0.39,1.04692,0.0007526,0.0007526,0.0007526
128,206.141,0.66223,0.38719,0.923,0.99941,1,0.995,0.78903,0.89916,0.36568,1.04502,0.0007427,0.0007427,0.0007427
129,207.657,0.66517,0.37378,0.91538,0.99939,1,0.995,0.77883,0.91274,0.37579,1.0552,0.0007328,0.0007328,0.0007328
130,209.184,0.6498,0.37643,0.90523,0.99938,1,0.995,0.77566,0.88143,0.35795,1.04479,0.0007229,0.0007229,0.0007229
131,210.696,0.64181,0.37482,0.91233,0.99941,1,0.995,0.79446,0.86965,0.36921,1.04891,0.000713,0.000713,0.000713
132,212.222,0.63425,0.36019,0.90194,0.99938,1,0.995,0.78066,0.88388,0.35836,1.0437,0.0007031,0.0007031,0.0007031
133,213.736,0.63463,0.36007,0.90838,0.99939,1,0.995,0.77432,0.93661,0.36441,1.06678,0.0006932,0.0006932,0.0006932
134,215.262,0.63702,0.3695,0.90238,0.9994,1,0.995,0.7849,0.90426,0.35574,1.05065,0.0006833,0.0006833,0.0006833
135,216.776,0.64501,0.3843,0.90601,0.99936,1,0.995,0.77977,0.89451,0.35663,1.04549,0.0006734,0.0006734,0.0006734
136,218.303,0.64916,0.36903,0.90746,0.99946,1,0.995,0.78571,0.90246,0.37226,1.047,0.0006635,0.0006635,0.0006635
137,219.816,0.63589,0.38178,0.90847,0.9994,1,0.995,0.79812,0.88397,0.35095,1.03709,0.0006536,0.0006536,0.0006536
138,221.344,0.60153,0.35996,0.90198,0.99941,1,0.995,0.78311,0.89114,0.36687,1.03324,0.0006437,0.0006437,0.0006437
139,222.859,0.64715,0.37222,0.90174,0.99938,1,0.995,0.75374,0.90805,0.36086,1.053,0.0006338,0.0006338,0.0006338
140,224.393,0.62565,0.37117,0.91152,0.99938,1,0.995,0.77856,0.8809,0.36958,1.04135,0.0006239,0.0006239,0.0006239
141,225.907,0.61515,0.37175,0.89732,0.99933,1,0.995,0.77946,0.89054,0.36767,1.04801,0.000614,0.000614,0.000614
142,227.432,0.66037,0.38324,0.90732,0.99976,1,0.995,0.79201,0.85538,0.36867,1.02579,0.0006041,0.0006041,0.0006041
143,228.949,0.61519,0.36673,0.89724,0.99925,1,0.995,0.78105,0.88588,0.3482,1.03331,0.0005942,0.0005942,0.0005942
144,230.481,0.62226,0.35743,0.87679,0.99935,1,0.995,0.79376,0.85659,0.35401,1.03418,0.0005843,0.0005843,0.0005843
145,232,0.61409,0.35868,0.8981,0.99942,1,0.995,0.77589,0.88004,0.35233,1.04701,0.0005744,0.0005744,0.0005744
