epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,53.3551,0.474,0.47221,0.87296,0.89361,0.81818,0.73819,0.70798,0.43468,0.77643,0.89372,0.000416,0.000416,0.000416
162,53.6246,0.39673,0.40206,0.81537,0.89341,0.81818,0.73742,0.69579,0.43996,0.76916,0.89861,0.0004061,0.0004061,0.0004061
163,53.8951,0.38665,0.45175,0.83626,0.89323,0.81818,0.73672,0.69537,0.46242,0.79595,0.90727,0.0003962,0.0003962,0.0003962
164,54.1655,0.37164,0.39124,0.8461,0.89307,0.81818,0.73628,0.70711,0.47093,0.79151,0.90234,0.0003863,0.0003863,0.0003863
165,54.4348,0.39984,0.43406,0.8391,0.89247,0.81818,0.73629,0.70778,0.46433,0.7652,0.89176,0.0003764,0.0003764,0.0003764
166,54.705,0.43585,0.455,0.8277,0.89186,0.81818,0.73639,0.72375,0.45107,0.75438,0.88352,0.0003665,0.0003665,0.0003665
167,54.9747,0.50485,0.52291,0.90442,0.89178,0.81818,0.73639,0.70983,0.44232,0.74991,0.87826,0.0003566,0.0003566,0.0003566
168,55.2451,0.38389,0.37913,0.83472,0.89188,0.81818,0.73631,0.72699,0.4458,0.73405,0.87596,0.0003467,0.0003467,0.0003467
169,55.5144,0.48761,0.4845,0.85585,0.89233,0.81818,0.75472,0.74562,0.44475,0.71687,0.87407,0.0003368,0.0003368,0.0003368
170,55.7836,0.34324,0.36545,0.80776,0.8925,0.81818,0.76367,0.75469,0.43062,0.71218,0.86998,0.0003269,0.0003269,0.0003269
171,56.0537,0.44564,0.43458,0.8911,0.89251,0.81818,0.76375,0.74376,0.41961,0.71412,0.86645,0.000317,0.000317,0.000317
172,56.325,0.39615,0.41688,0.8521,0.89258,0.81818,0.76385,0.75141,0.41331,0.71699,0.86569,0.0003071,0.0003071,0.0003071
173,56.5971,0.4138,0.38513,0.84806,0.89261,0.81818,0.76409,0.75175,0.4134,0.73677,0.86622,0.0002972,0.0002972,0.0002972
174,56.8661,0.37118,0.39306,0.82439,0.8927,0.81818,0.75551,0.73388,0.41832,0.7487,0.86814,0.0002873,0.0002873,0.0002873
175,57.1382,0.43085,0.38341,0.85771,0.89258,0.81818,0.74689,0.72435,0.42461,0.75397,0.86878,0.0002774,0.0002774,0.0002774
176,57.4081,0.35269,0.34663,0.83582,0.89253,0.81818,0.74756,0.72376,0.40366,0.72904,0.8586,0.0002675,0.0002675,0.0002675
177,57.678,0.35978,0.37965,0.78379,0.89261,0.81818,0.7461,0.72286,0.40397,0.74216,0.86176,0.0002576,0.0002576,0.0002576
178,57.9512,0.38803,0.37861,0.83639,0.89279,0.81818,0.74651,0.73627,0.4095,0.74356,0.86313,0.0002477,0.0002477,0.0002477
179,58.2228,0.36337,0.4158,0.81681,0.89306,0.81818,0.75634,0.74635,0.41638,0.72938,0.86387,0.0002378,0.0002378,0.0002378
180,58.495,0.41145,0.43341,0.84227,0.89326,0.81818,0.75729,0.72792,0.41764,0.71835,0.86555,0.0002279,0.0002279,0.0002279
181,58.7664,0.37614,0.35716,0.81246,0.89366,0.81818,0.75809,0.72876,0.42735,0.71109,0.86593,0.000218,0.000218,0.000218
182,59.0371,0.36549,0.42082,0.81358,0.89395,0.81818,0.75856,0.72187,0.43263,0.69655,0.86397,0.0002081,0.0002081,0.0002081
